Field,Experience,Location,Company Size,Salary,Job Requirements,URL
Bán lẻ - Hàng tiêu dùng - FMCG,Dưới 1 năm,Hà Nội,100-499 nhân viên,Từ 9 triệu,"Yêu cầu ứng viên
Có kinh nghiệm bán hàng - thu ngân tối thiểu 6 tháng tại các chuỗi siêu thị, cửa hàng tiện lợi hoặc ngành hàng F&B.
Kỹ năng giao tiếp tốt
Nhanh nhẹn, tự tin, chăm chỉ, trung thực và có ý thức, tinh thần trách nhiệm cao",https://www.topcv.vn/viec-lam/nhan-vien-ban-hang-chuoi-sieu-thi-xoay-ca-soc-son-ha-noi/1678057.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bán lẻ - Hàng tiêu dùng - FMCG,1 năm,Hồ Chí Minh,25-99 nhân viên,10 - 12 triệu,"Yêu cầu ứng viên
● Giới tính: Nữ, độ tuổi từ 22 – 35 tuổi.
● Tốt nghiệp cao đẳng hoặc đại học chuyên ngành kế toán, tài chính hoặc các ngành liên quan.
● Có kinh nghiệm từ 1 năm trở lên trong lĩnh vực kế toán, kế toán bán hàng.
● Thành thạo vi tính văn phòng, phần mềm kế toán Misa, ưu tiên các ứng viên biết sử dụng phần mềm bán hàng Sapo.
● Cẩn thận, trung thực, nhanh nhẹn, có trách nhiệm trong công việc.",https://www.topcv.vn/viec-lam/ke-toan-ban-hang-luong-den-12-trieu-tai-quan-5-ho-chi-minh/1676576.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Marketing / Truyền thông / Quảng cáo,Không yêu cầu,Hà Nội,25-99 nhân viên,15 - 45 triệu,"Yêu cầu ứng viên
Thái độ hơn trình độ, chấp nhận sinh viên mới ra trường hoặc đang chờ bằng có thể đi làm fulltime, ứng viên từng làm công tác đoàn đội, tốt nghiệp loại khá trở lên.
Không yêu cầu kinh nghiệm, biết sử dụng các trang mạng xã hội như facebook, zalo, tiktok..
Ưu tiên ứng viên ở ngoại tỉnh ( Thái Bình, Hải Dương, Hưng Yên, Phú Thọ,Thanh Hóa, Nghệ An...)
Ứng viên có kinh nghiệm sales, telesales, chăm sóc khách hàng, bán hàng là 1 lợi thế.
Hoạt ngôn, kiên trì, chăm chỉ và trung thực.
Có tinh thần học hỏi và chịu được áp lực; đam mê kinh doanh, đam mê kiếm tiền.
Có laptop cá nhân.
Năm sinh từ 1990 đến 2003.",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-tu-van-data-co-san-tai-ha-noi-khong-yeu-cau-kinh-nghiem-thu-nhap-len-toi-45-trieu/1675674.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bất động sản,1 năm,Hồ Chí Minh,25-99 nhân viên,10 - 300 triệu,"Yêu cầu ứng viên
- Tốt nghiệp Trung cấp trở lên tất cả các chuyên ngành.
- Chăm chỉ, kiên trì, có định hướng phát triển trong lĩnh vực BĐS.
- Đam mê kinh doanh, muốn thay đổi bứt phá về thu nhập.
- Có khả năng chịu áp lực cao, thích nghi và làm việc nhóm tốt.
- Có kinh nghiệm trong lĩnh vực Sale, Telesale, Bất động sản, Bảo hiểm, Chứng khoán, Ngân hàng, Chăm sóc khách hàng là một lợi thế.",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-bat-dong-san-full-time-co-luong-cung-thu-nhap-len-toi-300-trieu-di-lam-ngay/1680088.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bất động sản,Không yêu cầu,Hà Nội,25-99 nhân viên,Từ 30 triệu,"Yêu cầu ứng viên
Đam mê và quan tâm đến lĩnh vực bất động sản.
Có kỹ năng giao tiếp tốt và khả năng thuyết phục khách hàng.
Tinh thần học hỏi, cầu tiến và không ngại thử thách.
Không yêu cầu kinh nghiệm, chúng tôi sẽ đào tạo bạn từ A-Z Có phương tiện đi lại, laptop/smartphone.
Đã có kinh nghiệm bán hàng kinh doanh, giao tiếp tốt là một lợi thế",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-telesale-tu-van-bat-dong-san-thu-nhap-upto-50-trieu-khong-yeu-cau-kinh-nghiem-san-data-ha-noi/1673076.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Giáo dục / Đào tạo,Dưới 1 năm,Hà Nội,25-99 nhân viên,Tới 20 triệu,"Yêu cầu ứng viên
Đã tốt nghiệp Đại học/Cao Đẳng, hoặc năm cuối đang chờ bằng. Chưa có kinh nghiệm được đào tạo.
Ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực kinh doanh, chăm sóc khách hàng, telesales....
Giao tiếp tốt với khách hàng trực tiếp hoặc qua điện thoại.
Biết đặt mục tiêu và hoàn thành mục tiêu.
Thân thiện, chủ động và ham học hỏi.",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-giao-duc-thu-nhap-toi-20-trieu-tai-ha-noi/859523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bán lẻ - Hàng tiêu dùng - FMCG,Không yêu cầu,Hồ Chí Minh,10-24 nhân viên,8 - 10 triệu,"Yêu cầu ứng viên
- Có hiểu biết và rành sử dụng các nền tảng mạng xã hội (facebook, youtube, zalo, tiktok) giúp cho việc marketing của công ty
- Biết sử dụng máy tính để hỗ trợ chăm sóc khách hàng
- Biết tiếng Anh cơ bản
- Có khả năng làm việc nhóm, giao tiếp tốt
- Chịu được áp lực",https://www.topcv.vn/viec-lam/nhan-vien-digital-marketing-ban-hang-nu/1678570.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Tài chính,Không yêu cầu,Thái Nguyên & 2 nơi khác,5000+ nhân viên,8 - 15 triệu,"Yêu cầu ứng viên
- Có kỹ năng giao tiếp, thuyết phục khách hàng, làm việc nhóm
- Tính cách trung thực, luôn coi khách hàng là trọng tâm, có trách nhiệm với công việc
- Sử dụng tin học văn phòng",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-sales-tu-van-vien-thu-nhap-upto-15-trieu-lam-viec-tai-cac-phong-giao-dich/1659576.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bảo hiểm,Không yêu cầu,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
Không yêu cầu kinh nghiệm, hỗ trợ đào tạo
Độ tuổi 25 tuổi trở lên
Nhiệt tình, năng động, nhạy bén",https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-bao-hiem-part-time-thu-nhap-tu-25-trieu-tro-len-dac-biet-thuong-tuyen-dung-1-trieu-nguoi/1673111.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bán lẻ - Hàng tiêu dùng - FMCG,3 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
1. Có kỹ năng đàm phán, thương thảo hợp đồng, ít nhất 3 năm kinh nghiệm trong lĩnh vực phát triển nhượng quyền hoặc quản lý kinh doanh.
2. Có kinh nghiệm làm việc trong lĩnh vực telesales.
3. Tư duy nhanh nhạy, giao tiếp tốt, giọng nói rõ ràng.
4. Độ tuổi: 23-40.",https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh/1678213.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Khác,1 năm,Hà Nội,10-24 nhân viên,Từ 9 triệu,"Yêu cầu ứng viên
- Yêu cầu độ tuổi: NAM 22 - 40 tuổi
- Yêu cầu bằng cấp: Trung cấp trở lên, ưu tiên chuyên ngành kinh doanh, hóa học, môi trường và kỹ thuật.
- Có ít nhất 1 năm kinh nghiệm làm kinh doanh (tất cả các ngành nghề).
- Ưu tiên các ứng viên có kinh nghiệm trong lĩnh vực hóa chất vệ sinh công nghiệp, hóa chất xử lý nước, thiết bị vật tư công nghiệp
- Yêu cầu ứng viên phải thành thạo tin học văn phòng.
- Có phương tiện đi lại, nhanh nhẹn và có sức khỏe tốt.",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-tu-van-ban-hang-hoa-chat-luong-cung-tu-9-15-trieu-hoa-hong-tai-ha-noi-di-lam-ngay/1663029.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Thương mại tổng hợp,Không yêu cầu,Hà Nội,25-99 nhân viên,20 - 25 triệu,"Yêu cầu ứng viên
+ Chỉ tuyển ứng viên nam
+ Hiểu biết cơ bản các mạng xã hội
+ Có khả năng giao tiếp tốt, chăm chỉ, trung thực, muốn gắn bó lâu dài
+ Biết và có bằng lái xe ô tô là một lợi thế.",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-tu-van-xe-o-to-tu-quy-auto-thu-nhap-tb-15-20-trieu/1680493.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bất động sản,Không yêu cầu,Hà Nội,25-99 nhân viên,15 - 50 triệu,"Yêu cầu ứng viên
Nhanh nhẹn, hoạt ngôn, chăm chỉ
Đàm phán tốt
Sử dụng thành thạo máy tính văn phòng
Có khả năng phân tích, thu thập thông tin , xử lý tình huống, làm báo cáo.
Có phương tiện đi lại
Biết cách làm việc nhóm
Am hiểu mạng xã hội, website...",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-sales-bat-dong-san-duoc-cap-khach-truc-tiep-thu-nhap-cao-va-on-dinh/730204.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Xây dựng,2 năm,"Hồ Chí Minh, Bắc Ninh",10-24 nhân viên,25 - 55 triệu,"Yêu cầu ứng viên
Tuổi年龄: 25-40
Tốt nghiệp Cao đẳng trở lên 大专毕业以上
Tiếng Trung lưu loát (HSK4 trở lên), giao tiếp được với sếp 中文流利(HSK4以上),能与经理沟通
Ưu tiên có kinh nghiệm Sale trong ngành Vật liệu xây dựng 在建筑材料行业销售经验者优先
Nhanh nhẹn, tự tin, đam mê kinh doanh, cầu tiến, có tinh thần trách nhiệm 灵活,自信,对业务充满 热情、有负责任
Có khả năng đi công tác, đi thị trường, sức khỏe tốt 能够出差、逛市场、身体健康",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-biet-tieng-trung/1678673.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bất động sản,Không yêu cầu,Đà Nẵng,100-499 nhân viên,100 - 600 triệu,"Yêu cầu ứng viên
Nam/ Nữ tuổi từ 22-40, có laptop, tốt nghiệp Trung cấp trở lên
Ngoại hình sáng – Giao tiếp tốt - Đam mê kinh doanh.
KHÔNG YÊU CẦU KINH NGHIỆM - CHỈ CẦN ĐỦ ĐAM MÊ",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-luong-cung-tu-8-trieu-khong-dat-kpi-van-nhan-du-luong/1686532.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Khác,1 năm,Hà Nội,25-99 nhân viên,10 - 15 triệu,"Yêu cầu ứng viên
- Tốt nghiệp từ Trung Cấp trở lên.
- Ưu tiên ứng viên có kinh nghiệm ở vị trí Tư vấn kinh doanh, Bất động sản, Tài Chính,...
- Có kinh nghiệm bán hàng tối thiểu 1 năm.
- Khả năng giao tiếp tốt, ý thức tốt, độc lập trong công việc.
- Tin học văn phòng cơ bản.",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-mang-du-an-dien-may-luong-thuong-hap-dan-tai-ha-noi/1667924.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443723
Bất động sản,Không yêu cầu,Hồ Chí Minh & 2 nơi khác,25-99 nhân viên,9 - 50 triệu,"Yêu cầu ứng viên
Độ tuổi từ 22 tuổi trở lên
Ngoại hình sáng – Giao tiếp tốt - Đam mê kinh doanh.
Ứng viên có kinh nghiệm làm việc tại các công ty bất động sản, kinh doanh xe sang, hàng hiệu cao cấp, bảo hiểm, ngân hàng là một lợi thế",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-sales-bat-dong-san-luong-cung-9tr-hoa-hong-ho-tro-khach-marketing-da-nang-ho-chi-minh-vung-tau/1643891.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Xây dựng,Không yêu cầu,Hà Nội,10-24 nhân viên,Thoả thuận,"Yêu cầu ứng viên
- Học vấn: Biết tiếng trung
- Nam tuổ từ 25 - 40
- Ưu tiên các ứng viên sinh sống tại Hà Nội, có kinh nghiệm làm sale mảng vật liệu xây dựng là 1 lợi thế biết
- Có xe máy di chuyển
- Chăm chỉ,nhanh nhẹn
- Ham học hỏi, có tinh thần cầu tiến
- Ứng xử văn minh, lịch sự",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thi-truong-sales-tu-van-ban-hang-kinh-doanh-noi-that-nam-biet-tieng-trung/1658287.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Nhà hàng / Khách sạn,2 năm,Hà Nội,1000+ nhân viên,9 - 10 triệu,"Yêu cầu ứng viên
- Tốt nghiệp từ Cao đẳng trở lên
- Sử dụng thành thạo tin học văn phòng, đặc biệt excel
- Có kinh nghiệm về cho thuê, quản lý mặt bằng
- Kỹ năng giao tiếp, thuyết phục, đàm phán
- Tư duy nhanh nhạy, chủ động và chịu được áp lực cao trong công việc.",https://www.topcv.vn/viec-lam/nhan-vien-quan-ly-van-phong-cho-thue/1674394.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Xây dựng,1 năm,Hà Nội & 2 nơi khác,100-499 nhân viên,12 - 15 triệu,"Yêu cầu ứng viên
- Tốt nghiệp đại học, cao đẳng chuyên ngành xây dựng
- Có kinh nghiệm ít nhất 01 năm làm hồ sơ thanh quyết toán, hồ sơ chất lượng
- Chịu được áp lực công việc cao, chấp nhận tăng ca trong thời gian tiến độ hồ sơ gấp
- Kỹ năng Cad, Word, Excel tốt, tiếng Anh tốt là lợi thế
- Có thể làm việc độc lập cũng như theo nhóm. Chấp nhận đi công trình gần ven hà nội
- Tốt nghiệp cao đẳng, đại học các trường kỹ thuật (xây dựng, thủy lợi, giao thông...)
- Đọc bản vẽ tốt, thành thạo phần mềm office, autocad
- Có khả năng làm việc độc lập hoặc theo nhóm",https://www.topcv.vn/viec-lam/quan-ly-khoi-luong-cong-trinh-tu-1-nam-kinh-nghiem-thu-nhap-hap-dan/1673141.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Xây dựng,5 năm,Hồ Chí Minh,25-99 nhân viên,18 - 25 triệu,"Yêu cầu ứng viên
Tốt nghiệp đại học các ngành kỹ sư Xây dựng DD-CN, KỸ SƯ điện dân dụng và công nghiệp, KS CẤP THOÁT NƯỚC, KỸ SƯ TRẮC ĐẠT hoặc các ngành có liên quan
Ưu tiên ứng viên có từ 5 năm kinh nghiệm ở vị trí tương ứng.
Có kinh nghiệm thi công các công trình vốn ngân sách trên 5 năm
Biết làm hồ sơ thanh toán theo NĐ 99/2021/NĐ-CP và hs QLCL theo quy định.
Sử dụng được các phần mềm AutoCad, Revit và bộ Microsoft Office. chưa biết được đào tạo
Không vướng bân gia đình, có thể ở lại tăng ca, có thể đi làm các huyện Bình Chánh, Cần Giờ, Củ Chi, Thủ Đức...",https://www.topcv.vn/viec-lam/ky-su-chuyen-nganh-linh-vuc-xay-dung/1681954.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Xây dựng,1 năm,Khánh Hoà,25-99 nhân viên,12 - 15 triệu,"Yêu cầu ứng viên
- Tốt ghiệp các trường cao đẳng/ đại học chuyên ngành xây dựng, kiến trúc...
- Có ít nhất 1 năm kinh nghiệm trong lĩnh vực giám sát đồ gỗ nội thất.
- Nắm vững bản vẽ kĩ thuật thi công",https://www.topcv.vn/viec-lam/giam-sat-thi-cong-noi-that-go-thu-nhap-den-15-trieu/1673037.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Thiết kế / kiến trúc,2 năm,Hà Nội,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
Có kinh nghiệm từ 2 năm trở lên
Kỹ năng đàm phán, giao tiếp tốt, phân tích tốt;
Kỹ năng sử dụng các công cụ, phần mềm chuyên môn;
Kỹ năng làm việc nhóm, lập kế hoạch công việc.
Khả năng xử lý tình huống, có tư duy độc lập giải quyết vấn đề tốt",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-noi-that-cao-cap-luong-cung-upto-20-hoa-hong-cao/1685214.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Thiết kế / kiến trúc,Dưới 1 năm,Hà Nội,25-99 nhân viên,12 - 15 triệu,"Yêu cầu ứng viên
- Trình độ/Chuyên môn đào tạo: Tốt nghiệp các trường đào tạo chuyên ngành thiết kế kiến trúc & nội thất. (Ưu tiên ứng viên có kinh nghiệm)
- Thành thạo các phần mềm thiết kế
- Có tính sáng tạo cao, tư duy thẩm mỹ
- Trung thực, nhiệt tình, trách nhiệm
- Luôn thích cập nhật các style & vật liệu mới thường xuyên.
- Kỹ năng: Có khả năng làm việc Teamwork và làm việc độc lập.
- Yêu cầu khác: CV+ portfolio các dự án từng tham gia",https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-noi-that-3d-dien-hoa-3d-luong-12-15-trieu/1689318.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Xây dựng,2 năm,Hà Nội & 3 nơi khác,100-499 nhân viên,11 - 20 triệu,"Yêu cầu ứng viên
- Yều cầu độ tuổi từ 22 -35 tuổi Nam
- Sẵn sàng đi công tác tỉnh theo dự án.
- Tốt nghiệp Cao đẳng/Đại học chuyên ngành Xây dựng hoặc liên quan
- Học lực khá trở lên, ưu tiên có sử dụng Tiếng Anh
- Ưu tiên ứng viên có kinh nghiệm thi công sàn dự ứng lực, neo đất. Đã có kinh nghiệm ở vị trí tương đương là lợi thế
- Thành thạo kỹ năng xem bản vẽ và bóc tách khối lượng công trình.
- Có tinh thần trách nhiệm cao, tỉ mỉ, cẩn thận trong quá trình làm việc.
- Có khả năng làm việc độc lập, sáng tạo, linh động xử lý các vấn đề tại công trình.
- Biết sử dụng các phần mềm: Autocad, Office,...",https://www.topcv.vn/viec-lam/can-bo-ky-thuat-hien-truong-du-an-thi-cong-xay-dung-nam-luong-cung-den-20-trieu-thang-ha-noi-hung-yen-bac-ninh-thanh-hoa/1648884.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Bất động sản,1 năm,Hồ Chí Minh,25-99 nhân viên,10 - 300 triệu,"Yêu cầu ứng viên
- Tốt nghiệp Trung cấp trở lên tất cả các chuyên ngành.
- Chăm chỉ, kiên trì, có định hướng phát triển trong lĩnh vực BĐS.
- Đam mê kinh doanh, muốn thay đổi bứt phá về thu nhập.
- Có khả năng chịu áp lực cao, thích nghi và làm việc nhóm tốt.
- Có kinh nghiệm trong lĩnh vực Sale, Telesale, Bất động sản, Bảo hiểm, Chứng khoán, Ngân hàng, Chăm sóc khách hàng là một lợi thế.",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-bat-dong-san-full-time-co-luong-cung-thu-nhap-len-toi-300-trieu-di-lam-ngay/1680088.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Bất động sản,Không yêu cầu,Hà Nội,25-99 nhân viên,Từ 30 triệu,"Yêu cầu ứng viên
Đam mê và quan tâm đến lĩnh vực bất động sản.
Có kỹ năng giao tiếp tốt và khả năng thuyết phục khách hàng.
Tinh thần học hỏi, cầu tiến và không ngại thử thách.
Không yêu cầu kinh nghiệm, chúng tôi sẽ đào tạo bạn từ A-Z Có phương tiện đi lại, laptop/smartphone.
Đã có kinh nghiệm bán hàng kinh doanh, giao tiếp tốt là một lợi thế",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-telesale-tu-van-bat-dong-san-thu-nhap-upto-50-trieu-khong-yeu-cau-kinh-nghiem-san-data-ha-noi/1673076.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Xây dựng,Dưới 1 năm,Bà Rịa-Vũng Tàu,100-499 nhân viên,Thoả thuận,"Yêu cầu ứng viên
- Tốt nghiệp Trung cấp, Cao đẳng, Đại Học chuyên ngành hệ thống điện, kỹ thuật điện, điện công nghiệp, điện dân dụng, cơ khí, hoặc kỹ sư ngành MEP
- Ít nhất 2 năm kinh nghiệm tham gia thiết kế, thi công hệ thống điện (Trạm điện, tủ động lực, chiếu sáng, CCTV, PA, Lan-tel, fire alarm,...).
- Am hiểu các kỹ thuật thi công phần điện, các tiêu chuẩn của các loại vật tư, vật liệu, thiết bị, công nghệ lắp đặt vào công trình). Thành thạo Cad/MS office.
- Am hiểu điện năng lượng mặt trời.",https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-dien/1676004.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Bất động sản,Không yêu cầu,Hà Nội,25-99 nhân viên,15 - 50 triệu,"Yêu cầu ứng viên
Nhanh nhẹn, hoạt ngôn, chăm chỉ
Đàm phán tốt
Sử dụng thành thạo máy tính văn phòng
Có khả năng phân tích, thu thập thông tin , xử lý tình huống, làm báo cáo.
Có phương tiện đi lại
Biết cách làm việc nhóm
Am hiểu mạng xã hội, website...",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-sales-bat-dong-san-duoc-cap-khach-truc-tiep-thu-nhap-cao-va-on-dinh/730204.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Xây dựng,2 năm,"Hồ Chí Minh, Bắc Ninh",10-24 nhân viên,25 - 55 triệu,"Yêu cầu ứng viên
Tuổi年龄: 25-40
Tốt nghiệp Cao đẳng trở lên 大专毕业以上
Tiếng Trung lưu loát (HSK4 trở lên), giao tiếp được với sếp 中文流利(HSK4以上),能与经理沟通
Ưu tiên có kinh nghiệm Sale trong ngành Vật liệu xây dựng 在建筑材料行业销售经验者优先
Nhanh nhẹn, tự tin, đam mê kinh doanh, cầu tiến, có tinh thần trách nhiệm 灵活,自信,对业务充满 热情、有负责任
Có khả năng đi công tác, đi thị trường, sức khỏe tốt 能够出差、逛市场、身体健康",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-biet-tieng-trung/1678673.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Bất động sản,Không yêu cầu,Đà Nẵng,100-499 nhân viên,100 - 600 triệu,"Yêu cầu ứng viên
Nam/ Nữ tuổi từ 22-40, có laptop, tốt nghiệp Trung cấp trở lên
Ngoại hình sáng – Giao tiếp tốt - Đam mê kinh doanh.
KHÔNG YÊU CẦU KINH NGHIỆM - CHỈ CẦN ĐỦ ĐAM MÊ",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-luong-cung-tu-8-trieu-khong-dat-kpi-van-nhan-du-luong/1686532.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Bất động sản,1 năm,"Đắk Lắk, Hồ Chí Minh",25-99 nhân viên,50 - 200 triệu,"Yêu cầu ứng viên
– Giao tiếp tốt, nhanh nhẹn, năng động, ham học hỏi, tác phong lịch sự, chuyên nghiệp;
– Ưu tiên ứng viên có kinh nghiệm từ 1 năm vị trí Bán hàng, Kinh doanh, Kinh doanh Bất động sản, tài chính, ngân hàng, ô tô... là một lợi thế.
– Yêu thích kinh doanh và đam mê Bất động sản;
- Hiểu biết thị trường Buôn Mê Thuột là một lợi thế
– Có kỹ năng thuyết phục, đàm phán, chốt giao dịch.
– Bộ phận Nhân sự sẽ liên hệ với ứng viên trong vòng 12h kể từ khi apply, ứng viên vui lòng chú ý điện thoại/mail/zalo để không bị miss thông tin.",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-tu-van-moi-gioi-bat-dong-san-tai-ho-chi-minh-buon-me-thuot-luong-co-ban-tu-8-trieu/1675512.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Tư vấn,1 năm,Đồng Nai,25-99 nhân viên,15 - 35 triệu,"Yêu cầu ứng viên
- Tốt nghiệp chuyên nghành xây dựng, ngành nghề liên quan , hoặc có hiểu biết chuyên sâu về cơ điện , PCCC
- Biết vẽ Autocard , vi tính văn ρhòng.
- Có kinh nghiệm hiện trường .
- Nhanh nhẹn, trung thực chịu khó và xác định công việc lâu dài
- Kỹ năng giao tiếp tốt, có đạo đức nghề nghiệp, có tinh thần cầu tiến.",https://www.topcv.vn/viec-lam/giam-sat-thi-cong-di-lam-ngay/1465381.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
Thiết kế / kiến trúc,3 năm,Hà Nội,100-499 nhân viên,18 - 25 triệu,"Yêu cầu ứng viên
Tốt nghiệp cao đẳng, đại học chuyên ngành thiết kế, nội thất, kiến trúc
Yêu cầu 3 - 5 năm kinh nghiệm
Có tư duy tốt về ý tưởng
Yêu cầu hiểu về chi tiết cấu tạo đồ nội thất, các chi tiết thi công & vật liệu để đảm bảo bản vẽ 3D có mức độ thực tế cao.
Có khả năng làm việc độc lập hoặc theo nhóm
Sử dụng thành thạo các phần mềm: 3Dsmax, photoshop, autocad",https://www.topcv.vn/viec-lam/truong-nhom-thiet-ke-noi-that-interior-design-leader-thu-nhap-15-25-trieu-tai-ha-noi/1642079.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443759
